user_id,user_name,comment_text
1,Rashmi,Here's what I found when I tried it.
1,Rashmi,Here's what I found when I tried it.
1,Rashmi,"I see what you mean, though I'm not sure."
1,Rashmi,This is exactly what I needed today.
1,Rashmi,"Not sure I agree, but I respect the opinion."
1,Rashmi,"Interesting point, I'll think about it."
1,Rashmi,"Not sure I agree, but I respect the opinion."
1,Rashmi,This is exactly what I needed today.
1,Rashmi,Here's what I found when I tried it.
1,Rashmi,Let me share my experience with this.
1,Rashmi,"Not sure I agree, but I respect the opinion."
1,Rashmi,"Thanks for sharing, this is very helpful."
1,Rashmi,"Not sure I agree, but I respect the opinion."
1,Rashmi,"This made my day, thanks!"
1,Rashmi,I have a question about this topic.
1,Rashmi,Let me share my experience with this.
1,Rashmi,Thisjcontent is trash
1,Rashmi,That's one way to look at it.
1,Rashmi,You are an ioiot
1,Rashmi,WhaK a horrible thing..
1,Rashmi,ThJs is so stupid 😡
1,Rashmi,I've seen different results personally.
1,Rashmi,"Interesting point, I'll think about it."
1,Rashmi,This is a common topic of discussion.
1,Rashmi,"Interesting point, I'll think about it."
1,Rashmi,Let me share my experience with this.
1,Rashmi,Here's what I found when I tried it.
1,Rashmi,Let me share my experience with this.
1,Rashmi,Can someone explain this a bit more?
1,Rashmi,"I see what you mean, though I'm not sure."
1,Rashmi,Can someone explain this a bit more?
1,Rashmi,YZu better stop this!!!
1,Rashmi,Whav nonsense is this??
1,Rashmi,You don't belWng here 🤮
1,Rashmi,This group is horrible!!!
1,Rashmi,I Sill report you??
1,Rashmi,You don't beaong here!!!
1,Rashmi,Your brain doesn't zork
1,Rashmi,Let me share my experience with this.
1,Rashmi,Here's what I found when I tried it.
1,Rashmi,This group is honrible 😂
1,Rashmi,Totel dumb comment
1,Rashmi,I've seen different results personally.
1,Rashmi,Your brain dJesn't work
1,Rashmi,Noisense garbage
1,Rashmi,This is a common topic of discussion.
1,Rashmi,WhAt a horrible thing
1,Rashmi,Zhis group is horrible
1,Rashmi,DisgustiFg behavior 😂
2,Ankur,This is so Dtupid!!! 🤮
2,Ankur,This group is horrAble
2,Ankur,Be Sareful next time
2,Ankur,This group is hoSrible 😡
2,Ankur,Let me share my experience with this.
2,Ankur,"I see what you mean, though I'm not sure."
2,Ankur,This is so rtupid..
2,Ankur,rou better stop this
2,Ankur,Be yareful next time??
2,Ankur,YouBare useless
2,Ankur,Total dumG comment
2,Ankur,This content gs trash 😂
2,Ankur,Suame on you
2,Ankur,You dyn't belong here
2,Ankur,Be careCul next time
2,Ankur,"Interesting point, I'll think about it."
2,Ankur,What nonsgnse is this 🤮
2,Ankur,What a horrible thing?? 🤮
2,Ankur,You aFe useless!!!
2,Ankur,Pcople like you ruin everything
2,Ankur,Whatta horrible thing 🤮
